SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
667000	5.00000	1.00000	165.00000	31.00000	1113.00000	
668000	7.00000	0.00000	163.00000	30.00000	1348.00000	
669000	6.00000	2.00000	155.00000	29.00000	993.00000	
670000	5.00000	1.00000	152.00000	27.00000	826.00000	
671000	5.00000	1.00000	145.00000	18.00000	713.00000	
672000	6.00000	3.00000	172.00000	31.00000	1221.00000	
673000	3.00000	3.00000	150.00000	8.00000	318.00000	
674000	6.00000	5.00000	159.00000	25.00000	781.00000	
675000	7.00000	3.00000	150.00000	31.00000	980.00000	
676000	7.00000	3.00000	164.00000	31.00000	1095.00000	
677000	4.00000	3.00000	148.00000	16.00000	598.00000	
678000	8.00000	2.00000	180.00000	52.00000	1774.00000	
679000	14.00000	1.00000	171.00000	84.00000	3246.00000	
680000	8.00000	0.00000	170.00000	47.00000	1677.00000	
681000	5.00000	0.00000	187.00000	31.00000	1094.00000	
682000	7.00000	1.00000	163.00000	25.00000	973.00000	
683000	3.00000	1.00000	169.00000	17.00000	503.00000	
684000	2.00000	0.00000	160.00000	7.00000	254.00000	
685000	5.00000	1.00000	141.00000	22.00000	756.00000	
686000	7.00000	2.00000	154.00000	27.00000	1184.00000	
687000	7.00000	1.00000	157.00000	30.00000	1156.00000	
688000	7.00000	2.00000	154.00000	30.00000	1138.00000	
689000	9.00000	1.00000	158.00000	29.00000	1555.00000	
690000	12.00000	0.00000	185.00000	64.00000	2820.00000	
691000	10.00000	0.00000	159.00000	39.00000	1418.00000	
692000	15.00000	0.00000	154.00000	58.00000	2287.00000	
693000	10.00000	0.00000	155.00000	38.00000	1484.00000	
694000	5.00000	2.00000	172.00000	23.00000	1065.00000	
695000	4.00000	1.00000	161.00000	18.00000	662.00000	
